-62.9333324087	-32.6819813522
Date	Centroid Longitude	Centroid Latitude	Cluster Temperature	Cluster Number	Cluster size (pixels)
2018-11-10 20:45:00	-62.9447769032	-32.6947007071	200	[2]	22
2018-11-10 20:44:00	-62.9641005474	-32.698750019	200	3	12
2018-11-10 20:43:00	-62.9899114431	-32.7084916826	200	3	5
2018-11-10 20:42:00	-63.0096060428	-32.7041261799	200	2	1
2018-11-10 20:41:00	-62.9393129538	-32.6975062076	205	4	73
2018-11-10 20:40:00	-62.9573455638	-32.7055969633	205	4	61
2018-11-10 20:39:00	-62.9708176405	-32.7100537482	205	4	50
2018-11-10 20:38:00	-62.9793737085	-32.7174496806	205	3	47
2018-11-10 20:37:00	-63.0104104427	-32.7492262586	205	5	38
2018-11-10 20:36:00	-63.0171801886	-32.7461123812	205	4	34
2018-11-10 20:35:00	-63.0105285885	-32.7303923178	205	6	37
2018-11-10 20:34:00	-63.0287018362	-32.7354021694	205	4	37
2018-11-10 20:33:00	-63.0323372133	-32.7329283818	205	2	39
2018-11-10 20:32:00	-63.0390039126	-32.7343261825	205	4	35
2018-11-10 20:31:00	-63.0435367162	-32.7416825761	205	5	33
2018-11-10 20:30:00	-63.0562605239	-32.7414618985	205	5	29
2018-11-10 20:29:00	-63.0671509204	-32.7504259173	205	5	24
2018-11-10 20:28:00	-63.0661485635	-32.7418170287	205	6	22
2018-11-10 20:27:00	-63.0661499364	-32.7418119551	205	4	27
2018-11-10 20:26:00	-63.079075228	-32.7444466513	205	6	26
2018-11-10 20:25:00	-63.0904517153	-32.7417242624	205	3	24
2018-11-10 20:24:00	-63.0952842962	-32.7388856851	205	3	22
2018-11-10 20:23:00	-63.1022625405	-32.7347540607	205	5	22
2018-11-10 20:22:00	-63.1125528303	-32.7291432359	205	3	20
2018-11-10 20:21:00	-63.1250907003	-32.7241008644	205	4	15
2018-11-10 20:20:00	-63.1295513113	-32.7272314346	205	3	11
2018-11-10 20:19:00	-63.125544422	-32.7349733911	205	3	4
2018-11-10 20:18:00	-63.1443642419	-32.7409197824	205	3	2
2018-11-10 20:17:00	-63.0757414888	-32.8006829811	210	7	41
2018-11-10 20:16:00	-63.0832874773	-32.8125644202	210	7	27
2018-11-10 20:15:00	-63.0919754307	-32.8149181522	210	9	25
2018-11-10 20:14:00	-63.0992203557	-32.8289753422	210	7	19
2018-11-10 20:13:00	-63.104188568	-32.7996482097	210	9	19
2018-11-10 20:12:00	-63.112569071	-32.7842846471	210	8	22
2018-11-10 20:11:00	-63.1254244895	-32.7861981821	210	6	20
2018-11-10 20:10:00	-63.1271297586	-32.8116773705	210	6	22
2018-11-10 20:09:00	-63.1415044452	-32.8110780372	210	6	27
2018-11-10 20:08:00	-63.1603087875	-32.8151879355	210	6	29
2018-11-10 20:07:00	-63.172194563	-32.8113001937	210	6	33
2018-11-10 20:06:00	-63.1796837129	-32.7910424618	210	6	34
2018-11-10 20:05:00	-63.1938573436	-32.7818148652	210	8	31
2018-11-10 20:04:00	-63.2065704306	-32.7579658932	210	7	31
2018-11-10 20:03:00	-63.2121198089	-32.7523621406	210	8	34
2018-11-10 20:02:00	-63.2194949566	-32.738595866	210	4	32
2018-11-10 20:01:00	-63.2362705493	-32.740523631	210	5	28
