-62.0002446635	-32.8564622142
Date	Centroid Longitude	Centroid Latitude	Cluster Temperature	Cluster Number	Cluster size (pixels)
2018-11-10 20:45:00	-62.064388866845896	-32.90066578467462	200	[4]	24
2018-11-10 20:30:00	-62.01358470904466	-32.97191917396176	210	25	1378
2018-11-10 20:15:00	-62.18860852404437	-32.98641260131341	210	16	845
2018-11-10 20:00:00	-62.356209459662765	-33.0113519333227	210	17	634
2018-11-10 19:45:00	-62.4289610892658	-32.989510326863815	210	12	605
2018-11-10 19:30:00	-62.62943002795462	-33.18006411576825	210	9	425
2018-11-10 19:15:00	-62.76109458759619	-33.124101829946795	210	8	612
2018-11-10 19:00:00	-62.895097413102015	-33.03823395768366	210	10	505
2018-11-10 18:45:00	-63.02283392539185	-33.05083687867169	210	3	384
2018-11-10 18:30:00	-63.16981028672649	-33.06919190195381	210	5	185
2018-11-10 18:15:00	-63.28154876732378	-33.252035112033475	210	3	105
2018-11-10 18:00:00	-63.478409355763155	-33.15618865950903	210	3	72
2018-11-10 17:45:00	-63.62915981885277	-33.12072148813304	210	4	33
2018-11-10 17:30:00	-63.53860320837092	-33.1011994003231	210	5	9
2018-11-10 17:15:00	-63.6202833544731	-33.38358028724974	215	8	1212
2018-11-10 17:00:00	-63.875299539107175	-33.32650265959338	215	11	646
2018-11-10 16:45:00	-64.1843812229397	-33.298053236454095	215	6	482
2018-11-10 16:30:00	-64.23777755702524	-33.28859466369137	215	1	491
2018-11-10 16:15:00	-64.39847290846167	-33.2620465152307	215	5	416
2018-11-10 16:00:00	-64.65645442910643	-33.25855430690985	215	4	157
2018-11-10 15:45:00	-64.85947418463921	-33.222277620597986	215	2	65
2018-11-10 15:30:00	-64.93095208409152	-33.25272726275781	215	4	15
2018-11-10 15:15:00	-64.56597380962008	-33.4040925243391	223	6	305
2018-11-10 15:00:00	-64.79143194864108	-33.30969227598256	223	10	73
2018-11-10 14:45:00	-65.01730143769281	-33.29759825993369	223	11	2
